44,FK1-02006,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,amarillo,na,na,num,6,2018_10_04 00:00:00
45,FK1-03006,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,amarillo,na,na,num,8,2018_10_04 00:00:00
46,FK1-04006,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,amarillo,na,na,num,10,2018_10_04 00:00:00
47,FK1-05006,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,amarillo,na,na,num,12,2018_10_04 00:00:00
48,FK1-06006,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,amarillo,na,na,num,14,2018_10_04 00:00:00
49,FK1-07006,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,amarillo,na,na,num,16,2018_10_04 00:00:00
50,FK1-01007,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,fucsia,na,na,num,4,2018_10_04 00:00:00
51,FK1-02007,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,fucsia,na,na,num,6,2018_10_04 00:00:00
52,FK1-03007,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,fucsia,na,na,num,8,2018_10_04 00:00:00
53,FK1-04007,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,fucsia,na,na,num,10,2018_10_04 00:00:00
54,FK1-05007,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,fucsia,na,na,num,12,2018_10_04 00:00:00
55,FK1-06007,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,fucsia,na,na,num,14,2018_10_04 00:00:00
56,FK1-07007,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,fucsia,na,na,num,16,2018_10_04 00:00:00
57,FK1-01008,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,turqueza,na,na,num,4,2018_10_04 00:00:00
58,FK1-02008,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,turqueza,na,na,num,6,2018_10_04 00:00:00
59,FK1-03008,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,turqueza,na,na,num,8,2018_10_04 00:00:00
60,FK1-04008,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,turqueza,na,na,num,10,2018_10_04 00:00:00
61,FK1-05008,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,turqueza,na,na,num,12,2018_10_04 00:00:00
62,FK1-06008,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,turqueza,na,na,num,14,2018_10_04 00:00:00
63,FK1-07008,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,turqueza,na,na,num,16,2018_10_04 00:00:00
64,FK1-01009,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,verde limon,na,na,num,4,2018_10_04 00:00:00
65,FK1-02009,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,verde limon,na,na,num,6,2018_10_04 00:00:00
66,FK1-03009,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,verde limon,na,na,num,8,2018_10_04 00:00:00
67,FK1-04009,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,verde limon,na,na,num,10,2018_10_04 00:00:00
68,FK1-05009,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,verde limon,na,na,num,12,2018_10_04 00:00:00
69,FK1-06009,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,verde limon,na,na,num,14,2018_10_04 00:00:00
70,FK1-07009,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,verde limon,na,na,num,16,2018_10_04 00:00:00
71,FK1-01010,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,naranja,na,na,num,4,2018_10_04 00:00:00
72,FK1-02010,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,naranja,na,na,num,6,2018_10_04 00:00:00
73,FK1-03010,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,naranja,na,na,num,8,2018_10_04 00:00:00
74,FK1-04010,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,naranja,na,na,num,10,2018_10_04 00:00:00
75,FK1-05010,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,naranja,na,na,num,12,2018_10_04 00:00:00
76,FK1-06010,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,naranja,na,na,num,14,2018_10_04 00:00:00
77,FK1-07010,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,naranja,na,na,num,16,2018_10_04 00:00:00
78,FK1-01011,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,lila,na,na,num,4,2018_10_04 00:00:00
79,FK1-02011,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,lila,na,na,num,6,2018_10_04 00:00:00
80,FK1-03011,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,lila,na,na,num,8,2018_10_04 00:00:00
81,FK1-04011,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,lila,na,na,num,10,2018_10_04 00:00:00
82,FK1-05011,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,lila,na,na,num,12,2018_10_04 00:00:00
83,FK1-06011,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,lila,na,na,num,14,2018_10_04 00:00:00
84,FK1-07011,fk1,truza bordada,60.59,5.05,8,5.55,1.55,1,lila,na,na,num,16,2018_10_04 00:00:00
85,MC-09000,macarena,bikini damas,51,4.25,6,4.68,1.31,na,na,na,na,let,s,2018_10_04 00:00:00
86,MC-10000,macarena,bikini damas,51,4.25,6,4.68,1.31,na,na,na,na,let,m,2018_10_04 00:00:00
87,MC-11000,macarena,bikini damas,51,4.25,6,4.68,1.31,na,na,na,na,let,l,2018_10_04 00:00:00
88,MC-09001,macarena,bikini damas,51,4.25,6,4.68,1.31,1,blanco,na,na,let,s,2018_10_04 00:00:00
89,MC-10001,macarena,bikini damas,51,4.25,6,4.68,1.31,1,blanco,na,na,let,m,2018_10_04 00:00:00
90,MC-11001,macarena,bikini damas,51,4.25,6,4.68,1.31,1,blanco,na,na,let,l,2018_10_04 00:00:00
91,MC-09002,macarena,bikini damas,51,4.25,6,4.68,1.31,1,rosado,na,na,let,s,2018_10_04 00:00:00
92,MC-10002,macarena,bikini damas,51,4.25,6,4.68,1.31,1,rosado,na,na,let,m,2018_10_04 00:00:00
93,MC-11002,macarena,bikini damas,51,4.25,6,4.68,1.31,1,rosado,na,na,let,l,2018_10_04 00:00:00
94,MC-09003,macarena,bikini damas,51,4.25,6,4.68,1.31,1,beige,na,na,let,s,2018_10_04 00:00:00
95,MC-10003,macarena,bikini damas,51,4.25,6,4.68,1.31,1,beige,na,na,let,m,2018_10_04 00:00:00
96,MC-11003,macarena,bikini damas,51,4.25,6,4.68,1.31,1,beige,na,na,let,l,2018_10_04 00:00:00
97,MC-09004,macarena,bikini damas,51,4.25,6,4.68,1.31,1,melon,na,na,let,s,2018_10_04 00:00:00
98,MC-10004,macarena,bikini damas,51,4.25,6,4.68,1.31,1,melon,na,na,let,m,2018_10_04 00:00:00
99,MC-11004,macarena,bikini damas,51,4.25,6,4.68,1.31,1,melon,na,na,let,l,2018_10_04 00:00:00
100,MC-09005,macarena,bikini damas,51,4.25,6,4.68,1.31,1,crema,na,na,let,s,2018_10_04 00:00:00
101,MC-10005,macarena,bikini damas,51,4.25,6,4.68,1.31,1,crema,na,na,let,m,2018_10_04 00:00:00
102,MC-11005,macarena,bikini damas,51,4.25,6,4.68,1.31,1,crema,na,na,let,l,2018_10_04 00:00:00
103,MC-09006,macarena,bikini damas,51,4.25,6,4.68,1.31,1,lila,na,na,let,s,2018_10_04 00:00:00
104,MC-10006,macarena,bikini damas,51,4.25,6,4.68,1.31,1,lila,na,na,let,m,2018_10_04 00:00:00
105,MC-11006,macarena,bikini damas,51,4.25,6,4.68,1.31,1,lila,na,na,let,l,2018_10_04 00:00:00
106,MC-09007,macarena,bikini damas,51,4.25,6,4.68,1.31,1,celeste,na,na,let,s,2018_10_04 00:00:00
107,MC-10007,macarena,bikini damas,51,4.25,6,4.68,1.31,1,celeste,na,na,let,m,2018_10_04 00:00:00
108,MC-11007,macarena,bikini damas,51,4.25,6,4.68,1.31,1,celeste,na,na,let,l,2018_10_04 00:00:00
109,MC-09008,macarena,bikini damas,51,4.25,6,4.68,1.31,1,negro,na,na,let,s,2018_10_04 00:00:00
110,MC-10008,macarena,bikini damas,51,4.25,6,4.68,1.31,1,negro,na,na,let,m,2018_10_04 00:00:00
111,MC-11008,macarena,bikini damas,51,4.25,6,4.68,1.31,1,negro,na,na,let,l,2018_10_04 00:00:00
112,MC-09009,macarena,bikini damas,51,4.25,6,4.68,1.31,1,rojo,na,na,let,s,2018_10_04 00:00:00
113,MC-10009,macarena,bikini damas,51,4.25,6,4.68,1.31,1,rojo,na,na,let,m,2018_10_04 00:00:00
114,MC-11009,macarena,bikini damas,51,4.25,6,4.68,1.31,1,rojo,na,na,let,l,2018_10_04 00:00:00
115,MC-09010,macarena,bikini damas,51,4.25,6,4.68,1.31,1,verde agua,na,na,let,s,2018_10_04 00:00:00
